,area,year,pop_estimate
735,Connecticut,2005,3506956
736,Delaware,2005,845150
737,District of Columbia,2005,567136
738,Florida,2005,17842038
739,Georgia,2005,8925922
740,Hawaii,2005,1292729
741,Idaho,2005,1428241
742,Illinois,2005,12609903
743,Indiana,2005,6278616
744,Iowa,2005,2964454
745,Kansas,2005,2745299
746,Kentucky,2005,4182742
747,Louisiana,2005,4576628
748,Maine,2005,1318787
749,Maryland,2005,5592379
750,Massachusetts,2005,6403290
751,Michigan,2005,10051137
752,Minnesota,2005,5119598
753,Mississippi,2005,2905943
754,Missouri,2005,5790300
755,Montana,2005,940102
756,Nebraska,2005,1761497
757,Nevada,2005,2432143
758,New Hampshire,2005,1298492
759,New Jersey,2005,8651974
760,New Mexico,2005,1932274
761,New York,2005,19132610
762,North Carolina,2005,8705407
763,North Dakota,2005,646089
764,Ohio,2005,11463320
765,Oklahoma,2005,3548597
766,Oregon,2005,3613202
767,Pennsylvania,2005,12449990
768,Rhode Island,2005,1067916
769,South Carolina,2005,4270150
770,South Dakota,2005,775493
771,Tennessee,2005,5991057
772,Texas,2005,22778123
773,Utah,2005,2457719
774,Vermont,2005,621215
775,Virginia,2005,7577105
776,Washington,2005,6257305
777,West Virginia,2005,1820492
778,Wisconsin,2005,5546166
779,Wyoming,2005,514157
780,United States,2006,298379912
781,Alabama,2006,4628981
782,Alaska,2006,675302
783,Arizona,2006,6029141
784,Arkansas,2006,2821761
785,California,2006,36021202
786,Colorado,2006,4720423
787,Connecticut,2006,3517460
788,Delaware,2006,859268
789,District of Columbia,2006,570681
790,Florida,2006,18166990
791,Georgia,2006,9155813
792,Hawaii,2006,1309731
793,Idaho,2006,1468669
794,Illinois,2006,12643955
795,Indiana,2006,6332669
796,Iowa,2006,2982644
797,Kansas,2006,2762931
798,Kentucky,2006,4219239
799,Louisiana,2006,4302665
800,Maine,2006,1323619
801,Maryland,2006,5627367
802,Massachusetts,2006,6410084
803,Michigan,2006,10036081
804,Minnesota,2006,5163555
805,Mississippi,2006,2904978
806,Missouri,2006,5842704
807,Montana,2006,952692
808,Nebraska,2006,1772693
809,Nevada,2006,2522658
810,New Hampshire,2006,1308389
811,New Jersey,2006,8661679
812,New Mexico,2006,1962137
813,New York,2006,19104631
814,North Carolina,2006,8917270
815,North Dakota,2006,649422
816,Ohio,2006,11481213
817,Oklahoma,2006,3594090
818,Oregon,2006,3670883
819,Pennsylvania,2006,12510809
820,Rhode Island,2006,1063096
821,South Carolina,2006,4357847
822,South Dakota,2006,783033
823,Tennessee,2006,6088766
824,Texas,2006,23359580
825,Utah,2006,2525507
826,Vermont,2006,622892
827,Virginia,2006,7673725
828,Washington,2006,6370753
829,West Virginia,2006,1827912
830,Wisconsin,2006,5577655
831,Wyoming,2006,522667
832,United States,2007,301231207
833,Alabama,2007,4672840
834,Alaska,2007,680300
835,Arizona,2007,6167681
836,Arkansas,2007,2848650
837,California,2007,36250311
838,Colorado,2007,4803868
839,Connecticut,2007,3527270
840,Delaware,2007,871749
841,District of Columbia,2007,574404
842,Florida,2007,18367842
843,Georgia,2007,9349988
844,Hawaii,2007,1315675
845,Idaho,2007,1505105
846,Illinois,2007,12695866
847,Indiana,2007,6379599
848,Iowa,2007,2999212
849,Kansas,2007,2783785
850,Kentucky,2007,4256672
851,Louisiana,2007,4375581
852,Maine,2007,1327040
853,Maryland,2007,5653408
854,Massachusetts,2007,6431559
855,Michigan,2007,10001284
856,Minnesota,2007,5207203
857,Mississippi,2007,2928350
858,Missouri,2007,5887612
859,Montana,2007,964706
860,Nebraska,2007,1783440
861,Nevada,2007,2601072
862,New Hampshire,2007,1312540
863,New Jersey,2007,8677885
864,New Mexico,2007,1990070
865,New York,2007,19132335
866,North Carolina,2007,9118037
867,North Dakota,2007,652822
868,Ohio,2007,11500468
869,Oklahoma,2007,3634349
870,Oregon,2007,3722417
871,Pennsylvania,2007,12563937
872,Rhode Island,2007,1057315
873,South Carolina,2007,4444110
874,South Dakota,2007,791623
875,Tennessee,2007,6175727
876,Texas,2007,23831983
877,Utah,2007,2597746
878,Vermont,2007,623481
879,Virginia,2007,7751000
880,Washington,2007,6461587
881,West Virginia,2007,1834052
882,Wisconsin,2007,5610775
883,Wyoming,2007,534876
884,United States,2008,304093966
885,Alabama,2008,4718206
886,Alaska,2008,687455
887,Arizona,2008,6280362
888,Arkansas,2008,2874554
889,California,2008,36604337
890,Colorado,2008,4889730
891,Connecticut,2008,3545579
892,Delaware,2008,883874
893,District of Columbia,2008,580236
894,Florida,2008,18527305
895,Georgia,2008,9504843
896,Hawaii,2008,1332213
897,Idaho,2008,1534320
898,Illinois,2008,12747038
899,Indiana,2008,6424806
900,Iowa,2008,3016734
901,Kansas,2008,2808076
902,Kentucky,2008,4289878
903,Louisiana,2008,4435586
904,Maine,2008,1330509
905,Maryland,2008,5684965
906,Massachusetts,2008,6468967
907,Michigan,2008,9946889
908,Minnesota,2008,5247018
909,Mississippi,2008,2947806
910,Missouri,2008,5923916
911,Montana,2008,976415
912,Nebraska,2008,1796378
913,Nevada,2008,2653630
914,New Hampshire,2008,1315906
915,New Jersey,2008,8711090
916,New Mexico,2008,2010662
917,New York,2008,19212436
918,North Carolina,2008,9309449
919,North Dakota,2008,657569
920,Ohio,2008,11515391
921,Oklahoma,2008,3668976
922,Oregon,2008,3768748
923,Pennsylvania,2008,12612285
924,Rhode Island,2008,1055003
925,South Carolina,2008,4528996
926,South Dakota,2008,799124
927,Tennessee,2008,6247411
928,Texas,2008,24309039
929,Utah,2008,2663029
930,Vermont,2008,624151
931,Virginia,2008,7833496
932,Washington,2008,6562231
933,West Virginia,2008,1840310
934,Wisconsin,2008,5640996
935,Wyoming,2008,546043
936,United States,2009,306771529
937,Alabama,2009,4757938
938,Alaska,2009,698895
939,Arizona,2009,6343154
940,Arkansas,2009,2896843
941,California,2009,36961229
942,Colorado,2009,4972195
943,Connecticut,2009,3561807
944,Delaware,2009,891730
945,District of Columbia,2009,592228
946,Florida,2009,18652644
947,Georgia,2009,9620846
948,Hawaii,2009,1346717
949,Idaho,2009,1554439
950,Illinois,2009,12796778
951,Indiana,2009,6459325
952,Iowa,2009,3032870
953,Kansas,2009,2832704
954,Kentucky,2009,4317074
955,Louisiana,2009,4491648
956,Maine,2009,1329590
957,Maryland,2009,5730388
958,Massachusetts,2009,6517613
959,Michigan,2009,9901591
960,Minnesota,2009,5281203
961,Mississippi,2009,2958774
962,Missouri,2009,5961088
963,Montana,2009,983982
964,Nebraska,2009,1812683
965,Nevada,2009,2684665
966,New Hampshire,2009,1316102
967,New Jersey,2009,8755602
968,New Mexico,2009,2036802
969,New York,2009,19307066
970,North Carolina,2009,9449566
971,North Dakota,2009,664968
972,Ohio,2009,11528896
973,Oklahoma,2009,3717572
974,Oregon,2009,3808600
975,Pennsylvania,2009,12666858
976,Rhode Island,2009,1053646
977,South Carolina,2009,4589872
978,South Dakota,2009,807067
979,Tennessee,2009,6306019
