state,year,total_incidents,anti_american_indian_or_alaska_native,anti_arab,anti_asian,anti_atheism_agnosticism,anti_bisexual,anti_black_or_african_american,anti_buddhist,anti_catholic,anti_eastern_orthodox_russian_greek_other,anti_female,anti_gay_male,anti_gender_non_conforming,anti_heterosexual,anti_hindu,anti_hispanic_or_latino,anti_islamic_muslim,anti_jehovahs_witness,anti_jewish,anti_lesbian_female,anti_male,anti_mental_disability,anti_mormon,anti_multiple_races_group,anti_multiple_religions_group,anti_native_hawaiian_or_other_pacific_islander,anti_other_christian,anti_other_race_ethnicity_ancestry,anti_other_religion,anti_physical_disability,anti_protestant,anti_sikh,anti_transgender,anti_white,unknown_motivation,anti_lgbtq_grouped
Oklahoma,1994,20,0,0,1,0,0,13,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
Oregon,1994,177,4,1,11,0,0,48,0,1,0,0,31,0,2,0,19,0,0,11,9,0,0,0,4,0,0,0,5,1,0,3,0,0,22,0,45
Pennsylvania,1994,278,3,1,15,0,0,146,0,1,0,0,9,0,0,0,24,0,0,32,0,0,0,0,2,0,0,0,2,0,0,0,0,0,43,0,9
Rhode Island,1994,37,0,0,5,0,0,12,0,0,0,0,2,0,0,0,0,1,0,8,0,0,0,0,1,0,0,0,3,0,0,1,0,0,4,0,2
South Carolina,1994,33,2,0,1,0,1,13,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,4
South Dakota,1994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,1994,20,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,3
Texas,1994,365,0,5,16,0,0,153,0,0,0,0,48,0,0,0,32,0,0,17,5,0,0,0,4,1,0,0,4,1,0,0,0,0,72,0,60
Utah,1994,93,1,0,6,0,3,5,0,0,0,0,6,0,1,0,6,0,0,1,5,0,0,0,11,2,0,0,4,4,0,0,0,0,36,0,16
Vermont,1994,12,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,5
